Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"41306-1","Friends","Beach",2017,"Mia's Beach Scooter",1,79,8.99,9.99,12.99,9.99,5702015866231,673419264938,15.6972,14.097,4.4958,0.113398,"",0,0,0,,0,0,,,,,,,,,12.1700,4.2500,"01/01/2017","31/12/2017"
"70837-1","The LEGO Movie 2","",2019,"Shimmer & Shine Sparkle Spa!",8,691,59.99,69.99,89.99,69.99,5702016368208,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,31.8500,17.0000,"01/05/2019","31/12/2019"
"31086-1","Creator","3 in 1",2019,"Futuristic Flyer",,157,14.99,14.99,19.99,14.61,5702016367812,673419302074,26.2,14.1,4.8,0.27,"",0,0,0,,0,0,,,,,,,,,18.8600,13.4600,"",""
"10761-1","Juniors","Incredibles 2",2018,"The Great Home Escape",4,178,29.99,29.99,39.99,34.99,5702016117608,673419284141,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,50.4900,38.0400,"20/04/2018","31/12/2018"
"6331-1","Town","Flight",1996,"Patriot Jet",2,161,,16.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,79.6800,25.9200,"",""
"6203-1","HERO Factory","Breakout",2012,"BLACK PHANTOM",,124,14.99,19.99,24.99,,5702014840065,673419167284,26.19,28.19,4.6,0.4,"",0,0,0,,0,0,,,,,,,,,99.9800,33.9400,"01/01/2012","31/12/2012"
"852922-1","Castle","Kingdoms",2010,"Battle Pack",5,37,8.99,14.99,19.99,,,673419140461,,,,,"",0,0,0,,0,0,,,,,,,,,77.4800,32.0800,"",""
"911725-1","Star Wars","Magazine Gift",2017,"Sandcrawler",,50,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.3100,2.5000,"",""
"71770-1","Ninjago","Crystalized",2022,"Zane's Golden Dragon Jet",3,258,24.99,34.99,44.99,29.99,5702017152028,673419355339,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,30.3400,20.8000,"01/06/2022","31/07/2023"
"41151-1","Disney","Mulan",2018,"Mulan's Training Day",1,104,12.99,14.99,17.99,14.99,5702016111453,673419283106,15.7,14.1,4.5,,"",0,0,0,,0,0,,,,,,,,,10.1200,7.0000,"01/01/2018","31/12/2018"
"8281-1","Technic","",2006,"Mini Tractor",,121,6.99,10,,,5702014457461,673419069977,19.2,19.2,4.8,0.2,"",0,0,0,,0,0,,,,,,,,,35.0000,13.1900,"01/01/2006","31/12/2007"
"6252-1","Pirates","Accessories",1993,"Sea Mates",4,32,,7.25,,,5702010962525,,,,,,"",0,0,0,,0,0,,,,,,,,,164.5300,37.3000,"",""
"2173-1","Ninjago","Spinners",2011,"Nuckal",1,26,7.49,9.99,12.99,,,673419144742,17.2,23.01,2.79,0.1,"",0,0,0,,0,0,,,,,,,,,26.7300,4.9700,"01/04/2011","31/07/2011"
"71711-1","Ninjago","Prime Empire",2020,"Jay's Cyber Dragon",5,518,44.99,49.99,69.99,49.99,5702016616972,673419318181,38.2,26.2,5.7,0.66,"",0,0,0,,0,0,,,,,,,,,48.5200,40.0000,"01/01/2020","31/07/2021"
"30291-1","Ninjago","Tournament of Elements",2015,"Anacondrai Battle Mech",1,43,,,,,5702015356084,673419233057,17,17,0.9,,"",0,0,0,,0,0,,,,,,,,,6.6100,5.0200,"01/01/2015","31/12/2015"
"76174-1","Marvel Super Heroes","Spider-Man",2021,"Spider-Man's Monster Truck vs. Mysterio",4,439,44.99,39.99,49.99,49.99,5702016912791,,26.2,22.2,9.5,,"",0,0,0,,0,0,,,,,,,,,47.9100,30.0000,"01/01/2021","31/12/2021"
"6985-1","Space","Classic",1986,"Cosmic Fleet Voyager",4,413,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3150.0000,225.3100,"",""
"2538-1","Castle","Fright Knights",1998,"Fire-Cart",1,20,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,18.7200,9.3700,"",""
"8273-1","Technic","",2007,"Off Road Truck",,805,34.99,49.99,,,,673419091701,38.4,38.4,7.2,1.3,"",0,0,0,,0,0,,,,,,,,,180.0000,54.9200,"01/09/2007","31/12/2008"
"ISBN9780241196892-1","Books","Dorling Kindersley",2015,"I Love That Minifigure!",1,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"75825-1","The Angry Birds Movie","",2016,"Piggy Pirate Ship",4,620,64.99,59.99,74.99,69.99,5702015598309,673419250634,35.4076,37.7952,9.398,1.229234,"",0,0,0,,0,0,,,,,,,,,72.8300,43.9900,"01/04/2016","31/07/2017"
"70436-1","Hidden Side","",2020,"Phantom Fire Truck 3000",6,760,59.99,59.99,79.99,69.99,5702016617573,673419318778,54,28.2,5.9,1.05,"",0,0,0,,0,0,,,,,,,,,69.9200,52.2200,"01/06/2020","31/12/2020"
"6119-1","Bricks and More","",2008,"Roof Tiles",,150,10.49,,,,5702014524675,,,,,,"",0,0,0,,0,0,,,,,,,,,26.2100,20.4500,"",""
"76214-1","Marvel Super Heroes","Black Panther: Wakanda Forever",2022,"Black Panther: War on the Water",5,545,79.99,89.99,119.99,89.99,5702017154589,673419356510,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,68.2900,50.0000,"01/10/2022","31/12/2023"
"6192-1","Bricks and More","",2009,"Pirate Building Set",1,150,7.99,9.99,,,5702014534100,673419112314,19.1,14.1,6.1,0.21,"",0,0,0,,0,0,,,,,,,,,21.3900,12.9900,"",""
"8609-1","Bionicle","Matoran",2004,"Tehutti",,27,2.99,4,,,5702014362499,673419033329,,,,,"",0,0,0,,0,0,,,,,,,,,20.0100,7.1800,"",""
"40638-1","Seasonal","Valentine's Day",2023,"Heart Ornament",,254,10.99,12.99,16.99,12.99,5702017422725,673419377652,19.1,14.1,6.1,0.183,"",0,0,0,,0,0,,,,,,,,,16.0500,,"01/01/2023","31/12/2024"
"21124-1","Minecraft","Minifig-scale",2016,"The End Portal",3,559,54.99,59.99,74.99,59.99,,673419246804,38.2016,26.2128,7.0612,0.9434714,"",0,0,0,,0,0,,,,,,,,,195.3600,74.8000,"01/03/2016","31/12/2017"
"6325-1","Town","Vehicles",1998,"Package Pick-Up",1,28,,4.75,,,5702010963256,,14.4,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,37.5800,5.4000,"01/04/1998","31/12/1999"
"6703-1","Space","Miscellaneous",1988,"Minifig Pack",6,42,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,271.9500,38.5800,"",""
"10187-1","Advanced models","Vehicles",2008,"Volkswagen Beetle",,1626,78.29,119.99,,,5702014518605,673419130561,65.2,38.4,7.2,,"",0,0,0,,0,0,,,,,,,,,865.5700,373.0300,"01/07/2008","31/12/2009"
"71756-1","Ninjago","Seabound",2021,"Hydro Bounty",10,1159,129.99,139.99,179.99,149.99,5702016912340,673419339216,58.2,37.8,8.7,,"",0,0,0,,0,0,,,,,,,,,128.0900,99.3500,"01/06/2021","31/07/2023"
"10775-1","Disney","Mickey and Friends",2021,"Mickey Mouse & Donald Duck's Farm",2,118,24.99,29.99,39.99,29.99,5702016913156,673419339803,35.2,18.9,5.6,,"",0,0,0,,0,0,,,,,,,,,32.0200,27.6800,"01/06/2021","31/12/2022"
"912059-1","Star Wars","Magazine Gift",2020,"Elite Praetorian Guard",1,7,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,8.3500,2.5400,"",""
"8288-1","Technic","",2006,"Crawler Crane",,800,34.99,49.99,,,,673419080040,38.4,38.4,7.2,1.17,"",0,0,0,,0,0,,,,,,,,,450.0000,137.1300,"01/08/2006","31/07/2007"
"8081-1","Technic","",2011,"Extreme Cruiser",,590,49.99,59.99,79.99,,5702014734975,673419145237,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,125.0000,58.5900,"01/06/2011","31/12/2012"
"7475-1","Dino Attack","",2005,"Fire Hammer vs. Mutant Lizards",1,254,,20,,,,673419072922,38.4,28.8,6,0.59,"",0,0,0,,0,0,,,,,,,,,63.2400,35.6600,"01/09/2005","31/12/2006"
"21139-1","Minecraft","Minifig-scale",2018,"The Nether Fight",3,84,12.99,14.99,15.99,14.99,5702016108934,673419281362,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,31.3500,16.0700,"01/01/2018","31/12/2018"
"8552-1","Bionicle","Bohrok Va",2002,"Lehvak Va",,28,1.99,3,,,,673419011075,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,12.0000,9.0000,"01/01/2002","31/12/2002"
"6883-1","Space","Classic",1987,"Terrestrial Rover",1,109,,,,,,042884068837,,,,,"",0,0,0,,0,0,,,,,,,,,235.0000,30.8300,"",""
"9591-1","Ninjago","Spinners",2012,"Weapon Pack",2,73,12.99,19.99,24.99,,5702014838086,673419167147,26.01,23.01,3.99,0.19,"",0,0,0,,0,0,,,,,,,,,42.0000,33.8000,"01/06/2012","31/12/2012"
"4991-1","City","Police",2007,"Police Helicopter",1,31,,,,,5702014516410,,14,14,1,,"",0,0,0,,0,0,,,,,,,,,5.0400,4.5000,"01/07/2007","31/12/2008"
"7147-1","HERO Factory","Rise of the Rookies",2010,"XPlode",,45,9.99,12.99,17.99,,5702014602021,673419130417,14.1,26.19,7.19,0.19,"",0,0,0,,0,0,,,,,,,,,38.4600,10.7700,"01/08/2010","31/07/2011"
"8623-1","Bionicle","Warriors",2004,"Krekka",,203,14.99,20,,,5702014364646,673419033701,24,28.8,6,,"",0,0,0,,0,0,,,,,,,,,114.9600,46.4800,"01/07/2004","30/11/2005"
"41703-1","Friends","Tree Houses",2022,"Friendship Tree House",4,1114,69.99,79.99,99.99,79.99,5702017152745,673419356275,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,58.6400,53.7100,"01/01/2022","31/12/2023"
"6415-1","Town","Res-Q",1998,"Res-Q Jet-Ski",1,18,,,,,5702010964154,,7.2,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,5.9000,1.9600,"01/01/1998","31/12/1999"
"8871-1","Power Functions","Accessories",2009,"Extension Cable (50cm)",,1,3.49,3.99,4.99,4.57,673419104456,673419104456,,,,0.01,"",0,0,0,,0,0,,,,,,,,,14.2900,13.4000,"",""
"6026-1","Castle","Knights' Kingdom I",2000,"King Leo",2,21,,5,,,5702012000287,042884060268,,,,,"",0,0,0,,0,0,,,,,,,,,49.7100,18.0600,"",""
"8779-1","Castle","Knights' Kingdom II",2004,"The Grand Tournament",3,312,24.99,30,,,5702014366107,673419034333,33.6,24,7.2,0.64,"",0,0,0,,0,0,,,,,,,,,65.3000,21.1300,"01/07/2004","31/12/2005"
"3403-1","Sports","Football",2000,"Fans' Grandstand with Scoreboard",3,81,,15,,,5702012005992,,,,,,"",0,0,0,,0,0,,,,,,,,,34.0000,18.5400,"",""
"76159-1","DC Comics Super Heroes","Batman",2020,"Joker's Trike Chase",4,440,44.99,49.99,69.99,49.99,5702016619386,673419320498,38.2,26.2,7.1,0.68,"",0,0,0,,0,0,,,,,,,,,42.5300,42.0600,"01/06/2020","31/12/2021"
"41353-1","Friends","Seasonal",2018,"Friends Advent Calendar",,500,22.99,29.99,39.99,29.99,5702016112054,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,20.5200,16.9500,"01/09/2018","31/12/2018"
"8271-1","Technic","",2007,"Wheel Loader",,200,13.99,19.99,,,5702014499126,673419091084,28.8,19.2,6,0.4,"",0,0,0,,0,0,,,,,,,,,39.5500,19.0600,"",""
"8666-1","Racers","Tiny Turbos",2006,"Tuner X",,61,2.99,4,,,5702014467880,673419079129,10.2,14.7,4.8,,"",0,0,0,,0,0,,,,,,,,,9.5400,5.3600,"01/01/2006","31/12/2006"
"8948-1","Bionicle","Matoran",2008,"Gavla",,14,3.99,6.99,,,,673419102254,12.46,14.4,6.95,0.11,"",0,0,0,,0,0,,,,,,,,,19.0700,8.5800,"01/01/2008","31/12/2008"
"8932-1","Bionicle","Hydruka",2007,"Morak",,40,3.99,4.99,,,,673419090650,14.4,14.4,4.8,0.1,"",0,0,0,,0,0,,,,,,,,,25.6700,8.7000,"",""
"40198-1","Miscellaneous","Games",2018,"LEGO Ludo Game",16,389,34.99,39.99,49.99,38.98,5702016123531,673419285575,38,26,5.4,0.755,"",0,0,0,,0,0,,,,,,,,,41.0800,26.5200,"01/09/2018","31/12/2019"
"41233-1","DC Super Hero Girls","",2017,"Lashina Tank",2,145,11.99,14.99,17.99,14.99,,673419264549,15.6972,14.097,4.4958,0.1542213,"",0,0,0,,0,0,,,,,,,,,10.2800,7.1300,"01/01/2017","31/12/2017"
"5617-1","Space","Mars Mission",2008,"Alien Jet",1,21,1.95,,,,5702014516052,,9.6,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,5.9900,4.3400,"01/01/2008","31/12/2008"
"8723-1","Bionicle","Matoran",2006,"Piruk",,27,2.99,3.99,,,,673419077606,,,,,"",0,0,0,,0,0,,,,,,,,,19.9300,8.8200,"",""
"6691-1","Town","Medical",1981,"Red Cross Helicopter",2,107,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,250.0000,25.5400,"",""
"40180-1","Promotional","Toys R Us",2014,"Bricktober Theater",,164,,19.99,,,,673419220071,14.1,12.2,4.6,,"",0,0,0,,0,0,,,,,,,,,19.4000,20.0000,"01/09/2014","31/12/2014"
"71014-17","Collectable Minifigures","DFB Series",2016,"LEGO Minifigures - DFB Series - Complete",16,96,,,,,,,12,9,0.2,,"",0,0,0,,0,0,,,,,,,,,,,"01/05/2016","31/08/2016"
"2872-1","Castle","Fright Knights",1997,"Witch and Fireplace",1,19,,,,,5702010928729,,,,,,"",0,0,0,,0,0,,,,,,,,,27.0100,10.6500,"",""
"40621-1","BrickHeadz","Disney",2023,"Moana & Merida",,410,17.99,19.99,24.99,19.99,5702017424033,673419378093,19.1,14.1,9.1,,"",0,0,0,,0,0,,,,,,,,,27.1000,,"01/03/2023","31/12/2024"
"911612-1","Star Wars","Magazine Gift",2016,"Acklay",,49,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,8.0800,5.9500,"",""
"7808-1","Creator","Promotional",2009,"Yellow Airplane",,34,,,,,5702014726390,,17,17,0,,"",0,0,0,,0,0,,,,,,,,,5.3300,2.0000,"03/02/2009","31/12/2011"
"8113-1","Exo-Force","Deep Jungle",2008,"Assault Tiger",1,163,9.99,14.99,,,,673419102292,19.2,28.8,4.8,0.39,"",0,0,0,,0,0,,,,,,,,,89.9900,47.5900,"",""
"8844-1","Technic","",1981,"Helicopter",,316,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,190.3500,28.5900,"",""
"31094-1","Creator","3 in 1",2019,"Race Plane",1,333,24.99,29.99,39.99,29.23,5702016367881,673419302142,35.4,19.1,7,0.64,"",0,0,0,,0,0,,,,,,,,,27.0200,27.9000,"01/01/2019","31/12/2020"
"10760-1","Juniors","Incredibles 2",2018,"Underminer Bank Heist",3,149,24.99,24.99,29.99,29.99,5702016117592,673419284134,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,34.0000,29.6400,"20/04/2018","31/12/2018"
"8513-1","Technic","Robo Riders",2000,"Dust",,46,,6,,,5702012006760,,8.8,17.2,8.8,,"",0,0,0,,0,0,,,,,,,,,21.4600,7.4900,"01/06/2000","01/03/2001"
"4869-1","Bionicle","Rahaga",2005,"Rahaga Pouks",,28,,4,,,5702014426573,673419057547,,,,,"",0,0,0,,0,0,,,,,,,,,16.7700,10.6200,"",""
"2142-1","HERO Factory","Ordeal of Fire",2011,"Breez 2.0",,29,7.99,7.99,10.99,,,673419145435,11.25,18.21,6.1,0.15,"",0,0,0,,0,0,,,,,,,,,30.0000,9.3900,"01/01/2011","31/12/2011"
"41165-1","Disney","Frozen II",2019,"Anna's Canoe Expedition",2,108,17.99,19.99,24.99,19.99,5702016368628,,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,11.1600,8.6000,"04/10/2019","31/07/2021"
"30409-1","Friends","Amusement Park",2019,"Emma's Bumper Cars",1,66,3.99,,,3.99,5702016374391,,17,19.5,1,,"",0,0,0,,0,0,,,,,,,,,4.1500,3.1000,"01/01/2019","31/12/2019"
"1391-1","Bionicle","Matoran",2001,"Jala",,8,,2,,,,042884013912,,,,,"",0,0,0,,0,0,,,,,,,,,47.9900,37.0900,"",""
"4012-1","Boats","",1996,"Wave Cops",2,99,,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,136.9000,21.9300,"",""
"8150-1","Racers","Tiny Turbos",2008,"ZX Turbo",,55,2.99,4.99,,,5702014516144,673419101738,10.2,14.7,4.8,0.1,"",0,0,0,,0,0,,,,,,,,,20.3600,4.5100,"",""
"41378-1","Friends","Rescue Mission",2019,"Dolphins Rescue Mission",2,363,34.99,39.99,49.99,38.98,5702016370218,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,31.3100,25.3400,"01/06/2019","31/12/2020"
"5004077-1","Promotional","Target",2015,"2015 Target Minifigure Gift Set",4,25,,9.99,,,,673419241885,,,,,"",0,0,0,,0,0,,,,,,,,,26.5000,14.9900,"",""
"41125-1","Friends","Vet",2016,"Horse Vet Trailer",2,370,39.99,39.99,49.99,39.99,,673419248464,38.2016,26.2128,5.6388,0.6713161,"",0,0,0,,0,0,,,,,,,,,70.4900,19.5000,"01/06/2016","31/12/2017"
"6334-1","Town","Leisure",1996,"Wave Jump Racers",4,181,,20,,,5702010963348,,24,19.2,4.8,,"",0,0,0,,0,0,,,,,,,,,61.4800,33.2000,"01/07/1996","31/12/1997"
"5906-1","Adventurers","Jungle",1999,"Ruler of the Jungle",1,24,,,,,5702012000379,,9.6,7.2,4.8,,"",0,0,0,,0,0,,,,,,,,,59.9200,39.8200,"01/01/1999","31/12/1999"
"8556-1","Bionicle","Warriors",2002,"Boxor",,157,12.99,15,,,,673419011488,28.8,19.2,4.8,,"",0,0,0,,0,0,,,,,,,,,186.2000,60.4300,"01/06/2002","31/12/2003"
"70347-1","Nexo Knights","Season 3",2017,"King's Guard Artillery",2,98,7.99,9.99,12.99,9.99,,673419265577,14.097,12.192,4.5974,0.1224698,"",0,0,0,,0,0,,,,,,,,,11.4800,6.0800,"01/01/2017","31/12/2017"
"10732-1","Juniors","Cars 3",2017,"Guido and Luigi's Pit Stop",2,75,7.99,9.99,12.99,9.99,,673419266710,15.6972,14.097,4.4958,0.1270058,"",0,0,0,,0,0,,,,,,,,,17.9000,16.4900,"01/06/2017","31/07/2018"
"70166-1","Ultra Agents","",2015,"Spyclops Infiltration",2,109,9.99,9.99,12.99,9.99,5702015353847,673419231961,15.7,14.1,4.5,0.13,"",0,0,0,,0,0,,,,,,,,,35.0000,16.2400,"01/01/2015","31/07/2015"
"43227-1","Disney","Disney 100",2023,"Villain Icons",4,1540,124.99,129.99,169.99,139.99,5702017433882,673419379168,37.8,48,9.4,,"",0,0,0,,0,0,,,,,,,,,104.7100,102.3500,"01/06/2023","31/12/2025"
"8131-1","Racers","Tiny Turbos",2007,"Raceway Rider",,51,2.99,4.99,,,5702014499560,673419091336,10.2,14.7,4.8,0.09,"",0,0,0,,0,0,,,,,,,,,16.9500,5.4500,"",""
"5893-1","Creator","3 in 1",2010,"Off-Road Power",,1061,71.99,89.99,119.99,,5702014600560,673419128636,58.19,37.8,8.71,1.93,"",0,0,0,,0,0,,,,,,,,,90.8800,35.8500,"01/06/2010","31/12/2011"
"3300003-1","Promotional","LEGO brand store opening set",2012,"LEGO Brand Retail Store",,280,,0,,,,673419182294,26.2,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,92.3400,50.1600,"01/04/2012","31/12/2014"
"8640-1","Technic","Arctic",1986,"Polar Copter",1,238,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,141.5600,26.2200,"",""
"75824-1","The Angry Birds Movie","",2016,"Pig City Teardown",4,386,44.99,39.99,49.99,49.99,5702015598293,673419250627,38.2016,26.2128,5.6388,0.7348191,"",0,0,0,,0,0,,,,,,,,,56.3400,29.4300,"01/04/2016","31/07/2017"
"8202-1","Technic","Competition",1998,"Bungee Chopper",,72,,7,,,,,19.2,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,11.2200,8.1600,"01/01/1998","31/12/1999"
"10133-1","Trains","9V",2004,"Burlington Northern Santa Fe (BNSF) Locomotive",2,407,24.99,40,,,,,28.6,19,7,,"",0,0,0,,0,0,,,,,,,,,548.5300,307.4900,"11/10/2004","31/07/2006"
"1547-1","Castle","Black Knights",1993,"Black Knights Boat",2,58,,4.25,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,273.5900,43.6100,"",""
"8555-1","Bionicle","Bohrok Va",2002,"Nuhvok Va",,26,1.99,3,,,,673419011099,9.6,14.4,3.9,,"",0,0,0,,0,0,,,,,,,,,17.3100,8.7400,"01/01/2002","31/12/2002"
"4637-1","Bricks and More","",2012,"Safari Building Set",2,152,7.99,9.99,12.99,,5702014840300,673419167499,19.1,14.1,6.1,0.18,"",0,0,0,,0,0,,,,,,,,,14.9900,7.0000,"",""
"4992-1","City","Fire",2007,"Fire Boat",1,27,,,,,5702014509405,,14,14,1,,"",0,0,0,,0,0,,,,,,,,,6.0500,2.4000,"01/07/2007","31/12/2008"
"40414-1","Super Mario","Expansion Set",2020,"Monty Mole & Super Mushroom",3,163,,,,,5702016720112,673419326063,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,45.3800,54.9400,"01/08/2020","31/12/2020"
"6405-1","Town","Paradisa",1992,"Sunset Stables",2,133,,16,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,72.5000,21.4100,"",""
"4582-1","Racers","Drome Racers",2002,"Red Bullet",1,29,2.99,4,,,5702014152236,,9.6,14.4,4.8,,"",0,0,0,,0,0,,,,,,,,,6.6400,0.7400,"01/01/2002","31/12/2003"
"30414-1","Friends","Amusement Park",2021,"Emma's Magical Box",1,67,,,,,5702016916225,673419341752,17,17,2.2,,"",0,0,0,,0,0,,,,,,,,,3.0100,,"01/06/2021","31/12/2022"
"71750-1","Ninjago","Seabound",2021,"Lloyd's Hydro Mech",2,228,17.99,19.99,24.99,19.99,5702016912296,673419339162,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,19.0400,16.3900,"01/06/2021","31/07/2022"
"60131-1","City","Prison Island",2016,"Crooks Island",3,244,24.99,29.99,39.99,29.99,5702015594929,,28,26,5.7,,"",0,0,0,,0,0,,,,,,,,,40.0000,24.7900,"01/01/2016","31/07/2017"
"30533-1","Ninjago","General",2019,"Sam-X",,56,,,,,5702016373042,673419305785,17,17,0.7,,"",0,0,0,,0,0,,,,,,,,,3.9900,0.4700,"01/01/2019","31/12/2019"
"70820-1","The LEGO Movie 2","Miscellaneous",2019,"LEGO Movie Maker",6,482,44.99,49.99,69.99,49.99,5702016367928,673419302180,38.2,26.2,7.05,0.76,"",0,0,0,,0,0,,,,,,,,,26.6400,20.0200,"01/01/2019","31/12/2019"
"40554-1","BrickHeadz","Avatar",2022,"Jake Sully & his Avatar",,246,17.99,19.99,24.99,19.99,5702017241807,673419365895,19.1,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,17.0700,,"01/10/2022","31/12/2023"
"8772-1","Castle","Knights' Kingdom II",2004,"Rascus",,46,5.99,,,,5702014365940,,10.2,17.3,7.2,,"",0,0,0,,0,0,,,,,,,,,18.0000,5.0600,"01/01/2004","31/12/2004"
"8722-1","Bionicle","Matoran",2006,"Kazi",,25,2.99,3.99,,,5702014462441,673419077019,,,,,"",0,0,0,,0,0,,,,,,,,,24.1200,7.9100,"",""
"4879-1","Bionicle","Rahaga",2005,"Rahaga Iruini",,28,,4,,,5702014426870,673419057820,,,,,"",0,0,0,,0,0,,,,,,,,,20.0000,9.8500,"",""
"6543-1","Town","Boats",1994,"Sail N' Fly Marina",7,709,,85,,,5702010965434,,,,,,"",0,0,0,,0,0,,,,,,,,,334.6700,165.0500,"",""
"10323-1","Icons","Licensed",2023,"PAC-MAN Arcade",1,2651,229.99,269.99,349.99,269.99,5702017416946,673419375559,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,248.3200,206.3200,"01/06/2023","31/12/2026"
"1480-1","Castle","Lion Knights",1991,"King's Catapult",1,33,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,21.7500,"",""
"6293-1","HERO Factory","Breakout",2012,"FURNO",,56,9.99,12.99,15.99,,5702014840188,673419167796,19.51,27.99,7.01,0.15,"",0,0,0,,0,0,,,,,,,,,58.2100,10.4800,"01/01/2012","31/12/2012"
"4512-1","World City","Trains",2003,"Cargo Train",3,544,99.99,139.99,,,5702014267428,673419021371,57.6,38.4,11.4,2.65,"",0,0,0,,0,0,,,,,,,,,490.6200,222.1400,"01/06/2003","31/12/2005"
"4015-1","Boats","",1982,"Freighter",2,80,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,249.0000,36.7600,"",""
"1491-1","Castle","Black Knights",1992,"Dual Defender",2,48,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,108.0000,35.1200,"",""
"43114-1","Vidiyo","Stages",2021,"Punk Pirate Ship",3,615,59.99,59.99,79.99,69.99,5702016911978,673419338646,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,46.0900,,"01/06/2021","31/12/2021"
"41757-1","Friends","Heartlake City",2023,"Botanical Garden",3,1072,74.99,79.99,99.99,84.99,5702017415390,673419374491,37.8,35.4,7.1,,"",0,0,0,,0,0,,,,,,,,,60.0000,,"01/06/2023","31/12/2025"
"10694-1","Classic","Creative Building",2015,"Creative Supplement Bright",,303,17.99,19.99,24.99,19.99,5702015355728,673419232913,26.2128,19.1008,7.2136,0.4762716,"",0,0,0,,0,0,,,,,,,,,10.0000,9.4500,"01/01/2015","31/12/2017"
"8230-1","Technic","",1996,"Coastal Cop Buggy",1,175,,22,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,51.6600,15.3900,"",""
"75550-1","Minions: The Rise of Gru","",2021,"Minions Kung Fu Battle",3,310,34.99,39.99,49.99,39.99,5702016619201,673419320184,28.2,26.2,5.9,0.42,"",0,0,0,,0,0,,,,,,,,,25.9000,21.9900,"26/04/2021","31/12/2022"
"6963-1","Star Wars","Mini Building Set",2004,"X-wing Fighter",,41,,,,,5702014399457,,,,,,"",0,0,0,,0,0,,,,,,,,,85.0000,12.3600,"",""
"2191-1","HERO Factory","Savage Planet",2011,"Furno 3.0",,28,7.99,7.99,10.99,,,673419145497,11.25,18.21,6.1,0.15,"",0,0,0,,0,0,,,,,,,,,29.9900,9.4600,"01/07/2011","31/07/2012"
"8192-1","Racers","Tiny Turbos",2010,"Lime Racer",,44,4.99,5.99,6.99,,5702014602731,673419130790,10.21,14.81,4.8,0.1,"",0,0,0,,0,0,,,,,,,,,7.3400,2.6900,"",""
"487-1","Space","Classic",1978,"Space Cruiser",2,170,,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,900.0000,256.1500,"",""
"8840-1","Technic","",1990,"Rally Shock & Roll Racer",1,225,,,,,5702010988402,,,,,,"",0,0,0,,0,0,,,,,,,,,106.1200,15.6600,"",""
"76198-1","Marvel Super Heroes","Spider-Man",2021,"Spider-Man & Doctor Octopus Mech Battle",2,305,17.99,19.99,24.99,19.99,5702016989694,673419345606,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,24.8900,25.0000,"26/04/2021","31/12/2022"
"912174-1","Star Wars","Magazine Gift",2021,"Sith Trooper",1,5,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.5500,,"",""
